GrupoAplicacion
Abrasives
Activated raw granules
Aeronautics & energy
Agriculture
Alloys
Ammonia production
Analysis
Animal feed
Balloons
Basic metals
Batteries
Batteries (Lead)
Boats
Building & roads
Cable sheathing
Capacitors
Cast Iron for rigid structures
Casting Molds
Catalysts
Ceramics
Ceramics & Frits
Chemicals
Chemicals (Paint, Adhesives)
Chemicals (Paper)
Chemicals (Plastics)
Chemicals (Pyrotechnics)
Chemicals(Rubber)
Civil engineering
Coatings
Coke (Others)
Components and household
Consumer Durables
Controlled atmospheres
Cosmetics
Cryogenics
Defense
Detection
Domestic Prods.
Electrical and Electronics
Energy (Nuclear)
Energy (Oil)
Energy (Oil-Gas)
Energy (Solar)
Fiberglass
Filler, extender, sealant
Foods
Foundry
Friction products
Furniture
Galvanising
Gaskets, expansion
Glass
Graphite shapes
Hard materials (tools)
High Tech Engineering
Industry
Investment
Jewelery & others
Leisure
Lubricants
Machinery
Medicine
Metal Prods.
Metals-Basics
Mining-Extraction
Others
Packaging
Pets
Pharmacy
Special Steel
Stainless Steel
Steel
Steels
Superalloys
Thermal interface material
Thermo-electric devices
Tinplate
Tool steels
Tools (Hard materials)
Tools (pencils)
Tools (Plasma)
Tools (Stainless Steel)
Transport (Aerospace)
Transport (all)
Transport (automotive)
Transport (Boats)
Tubes, plates, wire
Wear






























































